,Wavelength (nm),Absorption (/cm)
856,1156,1.075
857,1157,1.0899999999999999
858,1158,1.105
859,1159,1.1199999999999999
860,1160,1.135
861,1161,1.15
862,1162,1.165
863,1163,1.18
864,1164,1.1838461538461538
865,1165,1.1876923076923076
866,1166,1.1915384615384614
867,1167,1.1953846153846153
868,1168,1.199230769230769
869,1169,1.203076923076923
870,1170,1.206923076923077
871,1171,1.2107692307692308
872,1172,1.2146153846153847
873,1173,1.2184615384615385
874,1174,1.2223076923076923
875,1175,1.2261538461538461
876,1176,1.23
877,1177,1.2314285714285713
878,1178,1.2328571428571429
879,1179,1.2342857142857142
880,1180,1.2357142857142858
881,1181,1.237142857142857
882,1182,1.2385714285714287
883,1183,1.24
884,1184,1.2414285714285713
885,1185,1.2428571428571429
886,1186,1.2442857142857142
887,1187,1.2457142857142858
888,1188,1.247142857142857
889,1189,1.2485714285714287
890,1190,1.25
891,1191,1.25
892,1192,1.25
893,1193,1.25
894,1194,1.25
895,1195,1.25
896,1196,1.25
897,1197,1.25
898,1198,1.25
899,1199,1.25
900,1200,1.25
901,1201,1.25
902,1202,1.25
903,1203,1.25
904,1204,1.25
905,1205,1.25
906,1206,1.248
907,1207,1.246
908,1208,1.244
909,1209,1.242
910,1210,1.24
911,1211,1.238
912,1212,1.236
913,1213,1.234
914,1214,1.232
915,1215,1.23
916,1216,1.228
917,1217,1.226
918,1218,1.224
919,1219,1.222
920,1220,1.22
921,1221,1.2166666666666666
922,1222,1.2133333333333334
923,1223,1.21
924,1224,1.2066666666666666
925,1225,1.2033333333333334
926,1226,1.2
927,1227,1.1966666666666665
928,1228,1.1933333333333334
929,1229,1.19
930,1230,1.1866666666666665
931,1231,1.1833333333333333
932,1232,1.18
933,1233,1.1766666666666665
934,1234,1.1733333333333333
935,1235,1.17
936,1236,1.166
937,1237,1.162
938,1238,1.158
939,1239,1.154
940,1240,1.15
941,1241,1.146
942,1242,1.142
943,1243,1.1380000000000001
944,1244,1.1340000000000001
945,1245,1.1300000000000001
946,1246,1.1260000000000001
947,1247,1.122
948,1248,1.118
949,1249,1.114
950,1250,1.11
951,1251,1.1075000000000002
952,1252,1.105
953,1253,1.1025
954,1254,1.1
955,1255,1.0975000000000001
956,1256,1.0950000000000002
957,1257,1.0925
958,1258,1.09
959,1259,1.0875000000000001
960,1260,1.085
961,1261,1.0825
962,1262,1.08
963,1263,1.0775000000000001
964,1264,1.0750000000000002
965,1265,1.0725
966,1266,1.07
967,1267,1.07375
968,1268,1.0775000000000001
969,1269,1.08125
970,1270,1.085
971,1271,1.08875
972,1272,1.0925
973,1273,1.09625
974,1274,1.1
975,1275,1.10375
976,1276,1.1075
977,1277,1.1112499999999998
978,1278,1.115
979,1279,1.11875
980,1280,1.1224999999999998
981,1281,1.12625
982,1282,1.13
983,1283,1.1423529411764706
984,1284,1.154705882352941
985,1285,1.1670588235294117
