,0,1
574,1234.0,50.0683
575,1235.0,49.9934
576,1236.0,49.9186
577,1237.0,49.825
578,1238.0,49.7502
579,1239.0,49.6567
580,1240.0,49.5631
581,1241.0,49.4508
582,1242.0,49.3573
583,1243.0,49.245
584,1244.0,49.1328
585,1245.0,49.0205
586,1246.0,48.8895
587,1247.0,48.7586
588,1248.0,48.6276
589,1249.0,48.4779
590,1250.0,48.3282
591,1251.0,48.1598
592,1252.0,48.0102
593,1253.0,47.8231
594,1254.0,47.6547
595,1255.0,47.4863
596,1256.0,47.3553
597,1257.0,47.2992
598,1258.0,47.2618
599,1259.0,47.2992
600,1260.0,47.374
601,1261.0,47.505
602,1262.0,47.6734
603,1263.0,47.9166
604,1264.0,48.1786
605,1265.0,48.5153
606,1266.0,48.8895
607,1267.0,49.3012
608,1268.0,49.7128
609,1269.0,50.087
610,1270.0,50.4612
611,1271.0,50.798
612,1272.0,51.116
613,1273.0,51.4341
614,1274.0,51.7148
615,1275.0,51.9954
616,1276.0,52.2387
617,1277.0,52.4819
618,1278.0,52.6877
619,1279.0,52.8935
620,1280.0,53.0993
621,1281.0,53.2864
622,1282.0,53.4735
623,1283.0,53.6419
624,1284.0,53.8103
625,1285.0,53.9787
626,1286.0,54.1284
627,1287.0,54.2781
628,1288.0,54.409
629,1289.0,54.5587
630,1290.0,54.7084
631,1291.0,54.8581
632,1292.0,55.0078
633,1293.0,55.1574
634,1294.0,55.3071
635,1295.0,55.4568
636,1296.0,55.6252
637,1297.0,55.7749
638,1298.0,55.9245
639,1299.0,56.0929
640,1300.0,56.2426
